时间,名称,申报类别,出版单位,运营单位,标签1,标签2,标签3,标签4,标签5,标签6,标签7,标签8,标签9,标签10
2023/5/19,一起奔赴的星光,移动,上海久游网络科技有限公司,上海久游网络科技有限公司,,,,,,,,,,
2023/5/19,七日世界,移动、客户端,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,,,,,,,,,,
2023/5/19,喵千万与奇妙屋,移动,宁波东海岸电子音像出版社有限公司,豪腾天佑（北京）科技有限公司,,,,,,,,,,
2023/5/19,全境战争,移动,上海科学技术文献出版社有限公司,上海三色米网络科技有限公司,,,,,,,,,,
2023/5/19,牌兵布阵,移动,广东音像出版社有限公司,广州问天信息科技有限公司,,,,,,,,,,
2023/5/19,荣耀勋章,移动,武汉手盟网络科技股份有限公司,武汉手盟网络科技股份有限公司,,,,,,,,,,
2023/5/19,战斗法则,移动,四川数字出版传媒有限公司,深圳金翅鸟信息科技有限公司,,,,,,,,,,
2023/5/19,星河彼岸花,移动,杭州紫府网络科技有限公司,北京树熊科技有限公司,,,,,,,,,,
2023/5/19,山海剑途,移动,三辰影库音像出版社有限公司,成都锦宏图网络科技有限公司,,,,,,,,,,
2023/5/19,三国大冒险,移动,杭州盛迈通信技术有限公司,郑州万豪网络技术有限公司,,,,,,,,,,
2023/5/19,众神派对,移动,上海科学技术文献出版社有限公司,上海莉莉丝网络科技有限公司,,,,,,,,,,
2023/5/19,幻谕,移动,杭州盛迈通信技术有限公司,上海喵果信息技术有限公司,,,,,,,,,,
2023/5/19,百变大侦探,移动,北京联合出版有限责任公司,北京久幺幺科技有限公司,,,,,,,,,,
2023/5/19,忆荷塘农场,移动,杭州群游科技有限公司,成都薪世界网络科技有限公司,,,,,,,,,,
2023/5/19,图兰卡的挽歌,移动,上海电子出版有限公司,上海指战网络科技有限公司,,,,,,,,,,
2023/5/19,幻境琉璃,移动,武汉手盟网络科技股份有限公司,武汉当玩科技有限公司,,,,,,,,,,
2023/5/19,依露希尔：星晓,移动,成都盈众九州网络科技有限公司,上海继游信息科技有限公司,,,,,,,,,,
2023/5/19,西普大陆,移动,四三九九网络股份有限公司,四三九九网络股份有限公司,,,,,,,,,,
2023/5/19,勇者与装备,移动,厦门吉比特网络技术股份有限公司,厦门雷霆互动网络有限公司,,,,,,,,,,
2023/5/19,归龙潮,移动、客户端,上海文艺音像电子出版社有限公司,上海好玩橙信息科技有限公司,,,,,,,,,,
2023/5/19,永恒觉醒,移动,上海恺英网络科技有限公司,积木堂（上海）信息技术有限公司,,,,,,,,,,
2023/5/19,因狄斯的谎言,移动,海南省电子音像出版社有限公司,海南游卡网络技术有限公司,,,,,,,,,,
2023/5/19,西游：笔绘西行,移动,北京冠游时空数码技术有限公司,北京冠游时空数码技术有限公司,,,,,,,,,,
2023/5/19,交错残响,移动,成都超级梦网络技术股份有限公司,四川极爱乐网络信息科技有限公司,,,,,,,,,,
2023/5/19,弈仙牌,移动、客户端,深圳中青宝互动网络股份有限公司,上海心愉计算机科技有限公司,,,,,,,,,,
2023/5/19,三国：谋定天下,移动,杭州浮云网络科技有限公司,浙江华娱网络科技有限公司,,,,,,,,,,
2023/5/19,装甲先锋,移动,杭州群游科技有限公司,杭州求诺科技有限公司,,,,,,,,,,
2023/5/19,幻世天神殿,移动,浙江出版集团数字传媒有限公司,杭州亭瞳网络科技有限公司,,,,,,,,,,
2023/5/19,超星觉醒,移动,广州盈正信息技术有限公司,深圳市大梦龙途文化传播有限公司,,,,,,,,,,
2023/5/19,笑梦江山,移动,上海方寸信息科技有限公司,上海漫轩网络科技有限公司,,,,,,,,,,
2023/5/19,拯救细胞,移动,天津电子出版社有限公司,武汉升鹏科技有限公司,,,,,,,,,,
2023/5/19,王牌战士2,移动,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,,,,,,,,,,
2023/5/19,花语卷,移动,湖北省扬子江影音有限责任公司,海南菩提互动网络科技有限公司,,,,,,,,,,
2023/5/19,夜市美食人生,移动,方圆电子音像出版社有限责任公司,上海锋恋技术服务有限公司,,,,,,,,,,
2023/5/19,光隙解语,移动,上海电子出版有限公司,上海呵呵呵文化传播有限公司,,,,,,,,,,
2023/5/19,珍珠海大冒险,移动,江苏凤凰电子音像出版社有限公司,苏州五十一区网络科技有限公司,,,,,,,,,,
2023/5/19,异界深渊：大灵王,移动,重庆聚购科技发展有限公司,上海圆戏网络科技有限公司,,,,,,,,,,
2023/5/19,我的神功,移动,黑龙江龙华数字出版股份有限公司,厦门泡鲸网络科技有限公司,,,,,,,,,,
2023/5/19,天启龙城,移动,成都盈众九州网络科技有限公司,广州炫动信息科技有限公司,,,,,,,,,,
2023/5/19,心渊梦境,移动、客户端、游戏机-Switch,方圆电子音像出版社有限责任公司,北京网元圣唐娱乐科技有限公司,,,,,,,,,,
2023/5/19,幻唐志：逍遥外传,移动,广州多益网络股份有限公司,多益网络有限公司,,,,,,,,,,
2023/5/19,家园、异星与猎人,移动,杭州润趣科技有限公司,杭州游卡网络技术有限公司,,,,,,,,,,
2023/5/19,浮生梦山海,移动,海南省电子音像出版社有限公司,海南手心互娱科技有限公司,,,,,,,,,,
2023/5/19,爱丽丝的妙趣仙境,移动,山东科学技术出版社有限公司,赤子城网络技术（北京）有限公司,,,,,,,,,,
2023/5/19,失落之门：序章,移动、客户端,三七互娱（上海）科技有限公司,上海硬通网络科技有限公司,,,,,,,,,,
2023/5/19,一念永恒：少年追梦,移动,杭州美盛游戏技术开发有限公司,海南霹雳互动网络科技有限公司,,,,,,,,,,
2023/5/19,狼人再起,移动,杭州润趣科技有限公司,浙江团团网络科技有限公司,,,,,,,,,,
2023/5/19,赤壁之战2,移动,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,,,,,,,,,,
2023/5/19,列支森林,移动,上海科学技术文献出版社有限公司,上海争嗨网络技术有限公司,,,,,,,,,,
2023/5/19,动物城：联合对抗,移动,杭州润趣科技有限公司,福州卡游网络科技有限公司,,,,,,,,,,
2023/5/19,环外,移动,成都盈众九州网络科技有限公司,四川时间肥猫信息科技有限公司,,,,,,,,,,
2023/5/19,安布罗斯与地下城,移动,江苏凤凰数字传媒有限公司,苏州仙峰网络科技股份有限公司,,,,,,,,,,
2023/5/19,激战王城,移动,成都超级梦网络技术股份有限公司,上海奇速网络科技有限公司,,,,,,,,,,
2023/5/19,超能热斗,移动,广州谷得网络科技有限公司,广州谷得网络科技有限公司,,,,,,,,,,
2023/5/19,曦恩之城,移动,杭州美盛游戏技术开发有限公司,海南文当网络科技有限公司,,,,,,,,,,
2023/5/19,麦吉大改造,移动,江苏凤凰数字传媒有限公司,麦吉太文（北京）科技有限公司,,,,,,,,,,
2023/5/19,方块人的简单生活,移动,深圳中青宝互动网络股份有限公司,深圳市比格互动科技有限公司,,,,,,,,,,
2023/5/19,逆境重组,移动,湖北省扬子江影音有限责任公司,北京冰狮科技有限公司,,,,,,,,,,
2023/5/19,合并动物城,移动,辽宁电子出版社有限责任公司,深圳市灵游互娱股份有限公司,,,,,,,,,,
2023/5/19,深渊契约,移动,杭州群游科技有限公司,衡阳鲲游网络科技有限公司,,,,,,,,,,
2023/5/19,宅人传说,移动,华东师范大学电子音像出版社有限公司,上海领音文化传播有限公司,,,,,,,,,,
2023/5/19,无尽蛮荒,移动,辽宁电子出版社有限责任公司,海南陆之游网络科技有限公司,,,,,,,,,,
2023/5/19,大领主传说,移动,杭州电魂网络科技股份有限公司,杭州电魂网络科技股份有限公司,,,,,,,,,,
2023/5/19,晶核：魔导觉醒,客户端,杭州盛迈通信技术有限公司,深圳市林子互娱科技有限公司,,,,,,,,,,
2023/5/19,足球人生,移动,成都超级梦网络技术股份有限公司,深圳市神话互娱科技有限公司,,,,,,,,,,
2023/5/19,全民街篮,客户端,上海声像电子出版社,上海凡影网络科技有限公司,,,,,,,,,,
2023/5/19,饮料小镇,移动,宁波东海岸电子音像出版社有限公司,上海霓诺网络科技有限公司,,,,,,,,,,
2023/5/19,美食飞行记,移动,广东音像出版社有限公司,海南青木瓜互娱文化有限公司,,,,,,,,,,
2023/5/19,龙神万相：神战,移动,华东师范大学电子音像出版社有限公司,上海樊逸网络科技有限公司,,,,,,,,,,
2023/5/19,守望火种,移动,安徽新华电子音像出版社,广州仟墨网络科技有限公司,,,,,,,,,,
2023/5/19,我想溜出去,移动-休闲益智,咪咕互动娱乐有限公司,南京原极信息科技有限公司,,,,,,,,,,
2023/5/19,境界勇士,移动-休闲益智,广东太平洋电子出版社有限公司,海南多游网络科技有限公司,,,,,,,,,,
2023/5/19,恐龙泡泡射击,移动-休闲益智,重庆华龙网集团股份有限公司,北京悠游堂科技有限公司,,,,,,,,,,
2023/5/19,不可思议的推推游戏,移动-休闲益智,波克科技股份有限公司,世熠网络科技（上海）有限公司,,,,,,,,,,
2023/5/19,精灵出击,移动-休闲益智,上海晨路信息科技股份有限公司,上海畅所欲言网络科技有限公司,,,,,,,,,,
2023/5/19,流浪佣兵,移动-休闲益智,江西高校出版社有限责任公司,广州卓动信息科技有限公司,,,,,,,,,,
2023/5/19,安安的回忆,移动-休闲益智,杭州哲信信息技术有限公司,家乡互动（厦门）网络科技有限公司,,,,,,,,,,
2023/5/19,炫霄飞车,移动-休闲益智,上海同济大学电子音像出版社有限公司,上海时纳网络科技有限公司,,,,,,,,,,
2023/5/19,疯狂蹦跳,移动-休闲益智,黑龙江科学技术出版社有限公司,北京掌上易游科技有限公司,,,,,,,,,,
2023/5/19,钓鱼大亨,移动-休闲益智,合肥乐堂动漫信息技术有限公司,合肥乐堂动漫信息技术有限公司,,,,,,,,,,
2023/5/19,玩吧自走棋,移动-休闲益智,吉林音像出版社有限责任公司,北京默契破冰科技有限公司,,,,,,,,,,
2023/5/19,画画大作战,移动-休闲益智,杭州乐港科技有限公司,北京摩丰科技有限公司,,,,,,,,,,
2023/5/19,出口成诗,移动-休闲益智,杭州烈焰网络技术有限公司,盐城七子科技有限公司,,,,,,,,,,
2023/5/19,疾速酷飞赛车,移动-休闲益智,华中科技大学电子音像出版社,北京光耀大地科技有限公司,,,,,,,,,,
2023/6/20,荣耀出征,移动,方圆电子音像出版社有限责任公司,河北传娱网络科技有限公司,,,,,,,,,,
2023/6/20,仙剑世界,移动、客户端,上海声像电子出版社,上海凡影网络科技有限公司,,,,,,,,,,
2023/6/20,沼泽激战2,移动,海南省电子音像出版社有限公司,海南金科网络科技有限公司,,,,,,,,,,
2023/6/20,绯色回响,移动,上海游族信息技术有限公司,上海游族信息技术有限公司,,,,,,,,,,
2023/6/20,魔法异闻录,移动,重庆华龙网集团股份有限公司,海南花鳗网络科技有限公司,,,,,,,,,,
2023/6/20,山海试炼,移动,江苏凤凰电子音像出版社有限公司,杭州置游网络科技有限公司,,,,,,,,,,
2023/6/20,超级巴基球,客户端,深圳中青宝互动网络股份有限公司,重庆帕斯亚科技有限公司,,,,,,,,,,
2023/6/20,铸剑宗师,移动,湖北省扬子江影音有限责任公司,武汉虚咖科技有限公司,,,,,,,,,,
2023/6/20,植物供应商,移动,成都超级梦网络技术股份有限公司,广州市精灵网络科技有限公司,,,,,,,,,,
2023/6/20,原野传说：史前万年,移动,黑龙江龙华数字出版股份有限公司,成都星合互娱科技有限公司,,,,,,,,,,
2023/6/20,快来接成语,移动-休闲益智,杭州紫府网络科技有限公司,盐城万安台科技有限公司,,,,,,,,,,
2023/6/20,元晶计划,移动,重庆聚购科技发展有限公司,成都劲松网络科技有限公司,,,,,,,,,,
2023/6/20,迷你脑洞计划,移动-休闲益智,炫彩互动网络科技有限公司,南京原极信息科技有限公司,,,,,,,,,,
2023/6/20,亿万光年,移动,四川广益聚慧科技有限公司,海南小小矩阵网络科技有限公司,,,,,,,,,,
2023/6/20,多彩连萌,移动-休闲益智,吉林音像出版社有限责任公司,南京游鸣信息科技有限公司,,,,,,,,,,
2023/6/20,猫婆婆的幸福公寓,移动,海南省电子音像出版社有限公司,海南传奇智力体育科技有限公司,,,,,,,,,,
2023/6/20,绿茵巅峰之路,移动,杭州润趣科技有限公司,海南龙息网络技术有限公司,,,,,,,,,,
2023/6/20,一起来扫雷,移动-休闲益智,广东太平洋电子出版社,广州霏凡互动科技有限公司,,,,,,,,,,
2023/6/20,星之破晓,移动,海南省电子音像出版社有限公司,广州迅影网络科技有限公司,,,,,,,,,,
2023/6/20,侠战江湖,移动,河北冠林数字出版有限公司,珠海市创进软件科技有限公司,,,,,,,,,,
2023/6/20,浪漫球球,移动-休闲益智,华中科技大学电子音像出版社,北京光耀大地科技有限公司,,,,,,,,,,
2023/6/20,小小远征队,移动,黑龙江龙华数字出版股份有限公司,北京乐逍游网络科技有限公司,,,,,,,,,,
2023/6/20,指尖乌诺牌,移动-休闲益智,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,,,,,,,,,,
2023/6/20,斗破苍穹：异火降世,移动,成都超级梦网络技术股份有限公司,北海星河网络科技有限公司,,,,,,,,,,
2023/6/20,元气骑士前传,移动,深圳中青宝互动网络股份有限公司,深圳市凉屋游戏科技有限公司,,,,,,,,,,
2023/6/20,宝石大乱斗,移动,成都金山数字娱乐科技有限公司,成都金山世游卓立科技有限公司,,,,,,,,,,
2023/6/20,远光84,移动,上海科学技术文献出版社有限公司,上海莉莉丝网络科技有限公司,,,,,,,,,,
2023/6/20,动物玩玩乐,移动-休闲益智,广州盈正信息技术有限公司,北京多多游科技有限公司,,,,,,,,,,
2023/6/20,无尽战塔,移动,杭州润趣科技有限公司,杭州非奇科技股份有限公司,,,,,,,,,,
2023/6/20,魔法石传说,移动,湖北省扬子江影音有限责任公司,广州金科文化科技有限公司,,,,,,,,,,
2023/6/20,星空下的跳跃,移动-休闲益智,杭州浮云网络科技有限公司,杭州游猫网络科技有限公司,,,,,,,,,,
2023/6/20,召唤骑士团,移动,深圳中青宝互动网络股份有限公司,成都市龙游天下科技有限公司,,,,,,,,,,
2023/6/20,妖怪正传2,移动,杭州美盛游戏技术开发有限公司,上海悦腾网络科技有限公司,,,,,,,,,,
2023/6/20,咔叽的理想国,移动,湖北省扬子江影音有限责任公司,深圳奇魔网络科技有限公司,,,,,,,,,,
2023/6/20,永恒的宇宙之光,移动,华东师范大学电子音像出版社有限公司,上海锋寰网络科技有限公司,,,,,,,,,,
2023/6/20,假日梦想家,移动-休闲益智,上海双盟网络科技有限公司,上海乐响网络科技发展有限公司,,,,,,,,,,
2023/6/20,当神奇光芒落下,移动,江苏凤凰数字传媒有限公司,苏州争渡科技有限公司,,,,,,,,,,
2023/6/20,猫话列国,移动,杭州烈焰网络技术有限公司,上海赤恩网络科技有限公司,,,,,,,,,,
2023/6/20,浮空秘境,移动,成都盈众九州网络科技有限公司,厦门魔兔网络科技有限公司,,,,,,,,,,
2023/6/20,舞力全开：派对,移动,华东师范大学电子音像出版社有限公司,上海碧汉网络科技有限公司,,,,,,,,,,
2023/6/20,东离剑游纪,移动,上海科学技术文献出版社有限公司,上海映雄体育文化有限公司,,,,,,,,,,
2023/6/20,潮灵王国：起源,移动,成都盈众九州网络科技有限公司,武汉盛天游戏网络科技有限公司,,,,,,,,,,
2023/6/20,岛与工厂,客户端,深圳中青宝互动网络股份有限公司,上海心愉计算机科技有限公司,,,,,,,,,,
2023/6/20,泡之星派对,移动、客户端,江苏凤凰电子音像出版社有限公司,南京凤侠网络科技有限公司,,,,,,,,,,
2023/6/20,长河归来,移动,杭州群游科技有限公司,厦门快快网络科技有限公司,,,,,,,,,,
2023/6/20,鸡城奇兵,移动,江苏凤凰数字传媒有限公司,广州宾果网络科技有限公司,,,,,,,,,,
2023/6/20,魂族崛起,移动,杭州润趣科技有限公司,杭州魂族网络科技有限公司,,,,,,,,,,
2023/6/20,压一压,移动-休闲益智,宁波东海岸电子音像出版社有限公司,武汉市多比特信息科技有限公司,,,,,,,,,,
2023/6/20,我的游乐园：橡皮泥挑战赛,移动,上海科学技术文献出版社有限公司,上海荃尼网络科技有限公司,,,,,,,,,,
2023/6/20,无极仙道,移动,辽宁电子出版社有限责任公司,深圳智品天成科技有限公司,,,,,,,,,,
2023/6/20,流浪地球,移动,华东师范大学电子音像出版社有限公司,上海暗冬网络科技有限公司,,,,,,,,,,
2023/6/20,宝贝乐消消,移动-休闲益智,北京目标在线科技有限公司,乐元素科技（北京）股份有限公司,,,,,,,,,,
2023/6/20,山海进化录,移动-休闲益智,杭州哲信信息技术有限公司,梓文（北京）科技有限公司,,,,,,,,,,
2023/6/20,熊猫咖啡屋,移动,杭州烈焰网络技术有限公司,咪咕文化科技有限公司,,,,,,,,,,
2023/6/20,卢娜的魔法屋,移动,方圆电子音像出版社有限责任公司,北京任之信息技术有限公司,,,,,,,,,,
2023/6/20,盲盒派对,移动-休闲益智,杭州盛迈通信技术有限公司,杭州傲娇网络科技有限公司,,,,,,,,,,
2023/6/20,几何王国,移动-休闲益智,黑龙江科学技术出版社有限公司,南京盛景网势技术服务有限公司,,,,,,,,,,
2023/6/20,召唤与重生,移动,杭州润趣科技有限公司,成都市福乐游网络科技有限公司,,,,,,,,,,
2023/6/20,王牌射击,移动-休闲益智,浙江出版集团数字传媒有限公司,深圳全民互动科技有限公司,,,,,,,,,,
2023/6/20,海底争锋,移动-休闲益智,上海方寸信息科技有限公司,上海怡净网络科技有限公司,,,,,,,,,,
2023/6/20,无人机模拟飞行,移动-休闲益智,杭州乐港科技有限公司,北京摩丰科技有限公司,,,,,,,,,,
2023/6/20,蓬莱镇,移动、客户端,江苏凤凰数字传媒有限公司,成都星奕网络科技有限公司,,,,,,,,,,
2023/6/20,兵团出击,移动-休闲益智,广东音像出版社有限公司,深圳传趣网络技术有限公司,,,,,,,,,,
2023/6/20,王牌突击队,移动-休闲益智,杭州渡口网络科技有限公司,北京字节旋律科技有限公司,,,,,,,,,,
2023/6/20,胡同小店,移动-休闲益智,北京北纬通信科技股份有限公司,上海趣滋滋网络科技有限公司,,,,,,,,,,
2023/6/20,星厨烹饪记,移动,方圆电子音像出版社有限责任公司,成都怪趣科技有限公司,,,,,,,,,,
2023/6/20,新汉苗,移动-休闲益智,广州多益网络股份有限公司,多益网络有限公司,,,,,,,,,,
2023/6/20,男生女生向前冲,移动,安徽新华电子音像出版社,上海美阳网络有限公司,,,,,,,,,,
2023/6/20,燕云十六声,移动、客户端,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,,,,,,,,,,
2023/6/20,镇魂街：破晓,移动,辽宁电子出版社有限责任公司,深圳金翅鸟信息科技有限公司,,,,,,,,,,
2023/6/20,我就是要种田,移动,成都超级梦网络技术股份有限公司,厦门泡游网络科技有限公司,,,,,,,,,,
2023/6/20,一念仙凡,移动,海南省电子音像出版社有限公司,海南君海网络科技有限公司,,,,,,,,,,
2023/6/20,百战霸主,移动-休闲益智,天津电子出版社有限公司,天津六六游科技有限公司,,,,,,,,,,
2023/6/20,迷你世界创造板,移动-休闲益智,江西高校出版社有限责任公司,深圳市迷你玩科技有限公司,,,,,,,,,,
2023/6/20,力力普的工坊,移动、客户端,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,,,,,,,,,,
2023/6/20,妙消连连,移动-休闲益智,咪咕互动娱乐有限公司,深圳市派乐地科技有限公司,,,,,,,,,,
2023/6/20,二极管的一生,移动-休闲益智,上海电子出版有限公司,上海领音文化传播有限公司,,,,,,,,,,
2023/6/20,空之勇者,移动、客户端,上海声像电子出版社,上海创想乐游网络科技有限公司,,,,,,,,,,
2023/6/20,天空之森,移动,辽宁电子出版社有限责任公司,广州百游信息科技有限公司,,,,,,,,,,
2023/6/20,神州千食舫,移动,厦门雷霆互动网络有限公司,深圳雷霆信息技术有限公司,,,,,,,,,,
2023/6/20,梦幻宠物大陆,移动,湖北省扬子江影音有限责任公司,深圳市魔术科技有限公司,,,,,,,,,,
2023/6/20,逃出梦梦岛,移动,上海科学技术文献出版社有限公司,上海娱公竞宇网络有限公司,,,,,,,,,,
2023/6/20,雀仔营地,移动,四川数字出版传媒有限公司,深圳市凉屋游戏科技有限公司,,,,,,,,,,
2023/6/20,我是航天员,移动,波克科技股份有限公司,波克科技股份有限公司,,,,,,,,,,
2023/6/20,烈火足球,移动-休闲益智,上海同济大学电子音像出版社有限公司,上海团竞网络科技有限公司,,,,,,,,,,
2023/6/20,荒野奇兵,移动,成都盈众九州网络科技有限公司,上海灵访科技有限公司,,,,,,,,,,
2023/6/20,龙骑士学园,移动,成都盈众九州网络科技有限公司,上海手游天下数字科技有限公司,,,,,,,,,,
2023/6/20,麦吉庄园,移动,江苏凤凰数字传媒有限公司,麦吉太文（北京）科技有限公司,,,,,,,,,,
2023/6/20,集换风暴,移动,辽宁电子出版社有限责任公司,大连金逸互娱网络科技有限公司,,,,,,,,,,
